"Hugo_Symbol","Entrez_Gene_Id","HR","pvalue","qvalue"
"PTPRN",5798,1.64789648544883,7.32808284525348e-08,0.001348587086012
"NKX3-1",4824,1.56550375307076,4.86744870856243e-06,0.0149292764306124
"SLC22A16",85413,1.54587908407789,4.51074718628815e-06,0.0149292764306124
"LINC00592",283404,1.59563979937248,3.70836887469756e-06,0.0149292764306124
"CLEC4GP1",440508,1.45608830367067,3.53816793227728e-06,0.0149292764306124
"LOC653786",653786,1.60532371225043,4.82293566045618e-06,0.0149292764306124
"VAT1L",57687,1.50945024143518,1.02542540246743e-05,0.0235886296020101
"C3orf36",80111,1.63057953226066,9.48860038482822e-06,0.0235886296020101
"GNS",2799,1.66588614350708,1.6799089812556e-05,0.0237810499861899
"SLC46A2",57864,1.53648284070183,1.18850739280632e-05,0.0237810499861899
"ELOVL3",83401,1.65541443398774,1.55288564547815e-05,0.0237810499861899
"PRSS30P",124221,1.54490136295464,1.44647363453776e-05,0.0237810499861899
"LCN15",389812,1.53740829585601,1.31507744498065e-05,0.0237810499861899
"C5orf23",79614,1.65993868974058,1.8624883849355e-05,0.0244824098199771
"CCDC129",223075,1.5422322459023,2.22563514846418e-05,0.0273055757581242
"POM121L1P",25812,1.44341393639366,4.21015120028191e-05,0.0484246328367425
"RFPL1",5988,1.56356256904805,5.39375953286851e-05,0.0551451981574329
"NUP107",57122,1.55378680155237,5.19820486511836e-05,0.0551451981574329
"FCRL5",83416,1.41660626458434,5.8980529372857e-05,0.0571272990551941
"INSL3",3640,1.38852797478595,7.14738847562605e-05,0.0607655809161985
"NPR3",4883,1.60390344817631,7.92465327386167e-05,0.0607655809161985
"TNFSF9",8744,1.36384869522219,7.87459043150813e-05,0.0607655809161985
"CPPED1",55313,1.49101696074493,7.8251302279984e-05,0.0607655809161985
"VSTM2L",128434,1.40614311743292,7.73082267203155e-05,0.0607655809161985
"ZMIZ1-AS1",283050,1.4074561650469,8.79850432065561e-05,0.0647675500052101
"PF4",5196,1.42251056843446,0.000118721611234658,0.0840320696750543
"NRG1",3084,1.32196561334578,0.000133028444943901,0.0842686480847301
"WFDC2",10406,1.3231917293689,0.000141951208532665,0.0842686480847301
"PCDHA7",56141,1.47106408062883,0.000124398361474596,0.0842686480847301
"POPDC3",64208,1.4188644273718,0.000141850811924858,0.0842686480847301
"CPNE9",151835,1.42402756317552,0.000141905918360001,0.0842686480847301
"TMEM191A",84222,1.42615100678824,0.000152952489617394,0.0879620208259032
"C20orf200",253868,1.31307228072236,0.000167542077710153,0.0934326320030287
"PTGER2",5732,1.33758099719658,0.000197418977098858,0.0999244037421624
"IER3",8870,1.41497346898529,0.000216543535154232,0.0999244037421624
"LILRB3",11025,1.35134892952786,0.000222621341815392,0.0999244037421624
"MGC29506",51237,1.35825149613248,0.000220295835262549,0.0999244037421624
"B3GNT4",79369,1.41142897971666,0.000193732358959905,0.0999244037421624
"CATSPER1",117144,1.42436187427813,0.00021453668069693,0.0999244037421624
"OTOA",146183,1.41713992092014,0.000192383124153733,0.0999244037421624
"TRNP1",388610,1.45780683276428,0.000219005377410351,0.0999244037421624
"TSPAN13",27075,1.43292897854281,0.000244956507464861,0.102453059247178
"NLRP12",91662,1.34657503370077,0.000240212806662255,0.102453059247178
"LIPJ",142910,1.60503557515154,0.000240646751235684,0.102453059247178
"CXCL2",2920,1.33609302760788,0.000256209846494087,0.102927462851963
"IFNE",338376,1.38890129624339,0.00025727670984026,0.102927462851963
"CD180",4064,1.46412377858486,0.0002712293864732,0.103279796670433
"ADAM6",8755,1.36840185168738,0.000274993753021312,0.103279796670433
"ABCC12",94160,1.34200484194219,0.000266296412206698,0.103279796670433
"EPHA8",2046,1.39497859056043,0.000282913690640026,0.104129212976968
"P2RY6",5031,1.46631825307539,0.000294763564519354,0.106363409369601
"HMOX1",3162,1.4312878608796,0.000307672178517217,0.106831907570799
"CLEC4C",170482,1.35474703961166,0.000305410624550805,0.106831907570799
"LINGO2",158038,1.52851511023841,0.000389528555697365,0.132749889083308
"LOC100130776",100130776,1.41258558611236,0.000403162804127956,0.134898274261214
"TUBBP6",442308,1.54511501860235,0.000415026777534931,0.136388174767417
"LY6H",4062,1.35111922290242,0.000430003592028905,0.138830808843999
"CD244",51744,1.40439775521902,0.000440398281038537,0.139735337344003
"SFRP2",6423,1.32035617510657,0.000457170789260403,0.14259854296202
"GCHFR",2644,1.43170650230901,0.000489547988520302,0.145215300176959
"SLC6A6",6533,1.36460590329548,0.000490613763681537,0.145215300176959
"PNMA5",114824,1.34962979496503,0.000475873007554557,0.145215300176959
"ANO4",121601,1.30804267899221,0.000497123507642691,0.145215300176959
"SOAT2",8435,1.31837573054592,0.000523246299837659,0.150457838373632
"CKMT1B",1159,1.35083411209854,0.000553440955632146,0.152014535917886
"IL18R1",8809,1.34180740804702,0.000546299798496131,0.152014535917886
"CD83",9308,1.41802726763293,0.000544832915303053,0.152014535917886
"RNASE1",6035,1.33906228580329,0.000567979428977864,0.152059404216551
"FMN1",342184,1.39737148818067,0.000570129809864807,0.152059404216551
"ITPKA",3706,1.40138825016337,0.000602770372458025,0.156254561342127
"ROS1",6098,1.29988971454573,0.000611331218640067,0.156254561342127
"OLFM1",10439,1.38300274964543,0.000604662870918304,0.156254561342127
"FUT8-AS1",645431,1.41864040747581,0.000620722278849403,0.15648153558446
"IL6",3569,1.35144588830367,0.000752375462787816,0.159281491648139
"KLRD1",3824,1.3057513395026,0.00073881577930855,0.159281491648139
"MME",4311,1.32792809576025,0.000761656863828518,0.159281491648139
"MPO",4353,1.30204591690705,0.000687559062173046,0.159281491648139
"SPINT1",6692,1.31526552894886,0.000691454656598054,0.159281491648139
"MSC",9242,1.33772139440339,0.000695501308516879,0.159281491648139
"SPINT2",10653,1.36941385634188,0.000730075599983215,0.159281491648139
"SOST",50964,1.33056876662483,0.000723663086459609,0.159281491648139
"ANKRD55",79722,1.27840078394298,0.000746948122966684,0.159281491648139
"CCDC64",92558,1.31967752651082,0.000720797315216107,0.159281491648139
"SH2D1B",117157,1.39079193795099,0.000760988252910696,0.159281491648139
"SDR9C7",121214,1.40410827378118,0.000685145364147513,0.159281491648139
"SH3RF2",153769,1.31767659915565,0.000742810243929173,0.159281491648139
"RPRML",388394,1.41740910499852,0.000717295208331928,0.159281491648139
"GLRA4",441509,1.49646936791382,0.000752512311923002,0.159281491648139
"KRT31",3881,1.40579050689755,0.000773356651849431,0.159911038921181
